==============================================================================================================
                    AIS DATABASE SNAPSHOT
==============================================================================================================
Total records: 20083 | Latest data: 2026-03-25 00:32:51.413125 | Ships with name+position: 382
==============================================================================================================
MMSI         Ship Name            Latitude     Longitude    Speed    Course   Received At
--------------------------------------------------------------------------------------------------------------
230291000    VOIMA                65.536180    24.404842    N/A      203.0    2026-03-25 00:32:43.011555
230252000    OTSO                 65.019002    25.349640    N/A      223.6    2026-03-25 00:32:42.353643
273131400    KAPITAN NIKOLAEV     60.216157    27.972180    0.6      19.8     2026-03-25 00:32:42.322393
352005037    COOL EMERALD         59.837012    25.424150    17.2     78.0     2026-03-25 00:32:41.868808
265411000    SCA OBBOLA           59.677985    19.853183    15.0     140.6    2026-03-25 00:32:41.829512
230290000    URHO                 65.145923    24.671422    N/A      348.3    2026-03-25 00:32:40.407634
230713000    VIKING CINDERELLA    59.824007    20.115628    18.3     123.1    2026-03-25 00:32:40.038404
230158730    RPP 508              64.668198    24.407155    N/A      341.9    2026-03-25 00:32:39.825077
210223000    MV AGUIMES           59.433880    22.756977    11.4     71.6     2026-03-25 00:32:39.500728
255915979    STEN BERGEN          63.443492    20.619897    10.9     31.6     2026-03-25 00:32:38.732576
230992260    MT2305               60.162243    21.692243    N/A      29.3     2026-03-25 00:32:37.431995
265546940    MERKURIUS            59.661013    18.929457    5.0      121.8    2026-03-25 00:32:37.034138
352005037    COOL EMERALD         59.836933    25.423388    17.2     78.0     2026-03-25 00:32:36.981054
265411000    SCA OBBOLA           59.678253    19.852743    15.0     140.4    2026-03-25 00:32:36.108725
230981050    MERISILTA            65.037300    25.068720    N/A      309.3    2026-03-25 00:32:34.520574
230291000    VOIMA                65.536180    24.404847    N/A      191.7    2026-03-25 00:32:33.209022
273131400    KAPITAN NIKOLAEV     60.216210    27.972197    0.4      19.7     2026-03-25 00:32:32.769992
215768000    HANSEATIC NATURE     62.544785    20.379400    9.0      345.7    2026-03-25 00:32:32.690415
230252000    OTSO                 65.019002    25.349640    N/A      160.0    2026-03-25 00:32:32.490870
577678000    MARJORIE             59.229495    20.104715    10.3     174.5    2026-03-25 00:32:30.808289
==============================================================================================================
